Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1 µF,
"C11, C12, C17, C2, C20, C21, C22, C3, C4, C5, C6, C7, C8, C9",0402,14,100 nF,
"C13, C14",0603,2,10 µF,
"C15, C16",0402,2,33 pF,
"C18, C19",0402,2,8 pF,
D1,0603,1,C2286,
D2,0603,1,C2994781,
"D3, D4",D_SOD-123F,2,MBR120VLSFT1G,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
"J4, J7",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
J5,CONN-TH_3P-P3.50_OSTTE030161,1,Screw_Terminal_01x03 (C3817776),
"R1, R2",0402,2,5.1K,
R10,0402,1,120R,
"R11, R12, R6",0402,3,10K,
"R3, R4",0402,2,27R,
"R5, R7",0402,2,1K,
R8,0402,1,470R,
R9,0402,1,100R,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,
TP1,TestPoint_Pad_1.0x1.0mm,1,5V TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,
U4,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,MCP25625x-x-ML,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz Crystal_GND24 (C9002),
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16 MHz Crystal_GND24 (C13738),
